"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","c_rain","mu_A_rain","a_rain","gam_V_temp","a_hum"
3.5625,15.5977,0.6943,0,0.0244,0.0152,0.5508,0.0347,0.2215,0.1671,0.0224,0.7623,0.6087,-0.0135,0.027,-0.0135,-0.8434,-0.034
3.625,15.6144,0.6947,0,0.0246,0.0151,0.5556,0.0347,0.2227,0.1683,0.0224,0.7618,0.6097,-0.0135,0.027,-0.0135,-0.8408,-0.0335
3.6875,15.6306,0.6952,0,0.0247,0.015,0.5602,0.0348,0.2239,0.1695,0.0223,0.7614,0.6106,-0.0135,0.027,-0.0135,-0.8382,-0.0331
3.75,15.6462,0.6956,0,0.0249,0.015,0.5647,0.0348,0.2251,0.1706,0.0223,0.761,0.6115,-0.0135,0.027,-0.0135,-0.8357,-0.0327
3.8125,15.6613,0.696,0,0.025,0.0149,0.569,0.0349,0.2262,0.1717,0.0223,0.7605,0.6124,-0.0135,0.027,-0.0135,-0.8331,-0.0323
3.875,15.6758,0.6964,0,0.0252,0.0148,0.5732,0.0349,0.2273,0.1728,0.0222,0.7601,0.6132,-0.0135,0.027,-0.0135,-0.8307,-0.0318
3.9375,15.6897,0.6968,0,0.0253,0.0148,0.5772,0.035,0.2283,0.1738,0.0222,0.7597,0.614,-0.0135,0.027,-0.0135,-0.8282,-0.0315
4,15.7031,0.6972,0,0.0254,0.0147,0.5811,0.035,0.2293,0.1748,0.0222,0.7593,0.6148,-0.0135,0.027,-0.0135,-0.8259,-0.0311
4.0625,15.716,0.6976,0,0.0255,0.0147,0.5849,0.0351,0.2303,0.1757,0.0221,0.759,0.6155,-0.0135,0.027,-0.0135,-0.8235,-0.0307
4.125,15.7282,0.6979,0,0.0257,0.0146,0.5885,0.0351,0.2312,0.1766,0.0221,0.7586,0.6162,-0.0135,0.027,-0.0135,-0.8213,-0.0303
4.1875,15.74,0.6983,0,0.0258,0.0146,0.5919,0.0352,0.2321,0.1774,0.0221,0.7583,0.6169,-0.0135,0.027,-0.0135,-0.8191,-0.03
4.25,15.7511,0.6986,0,0.0259,0.0145,0.5952,0.0352,0.2329,0.1783,0.022,0.7579,0.6175,-0.0135,0.027,-0.0135,-0.817,-0.0297
4.3125,15.7617,0.6989,0,0.026,0.0145,0.5983,0.0352,0.2337,0.179,0.022,0.7576,0.6181,-0.0135,0.027,-0.0135,-0.8149,-0.0293
4.375,15.7718,0.6992,0,0.0261,0.0145,0.6013,0.0353,0.2345,0.1798,0.022,0.7573,0.6187,-0.0135,0.027,-0.0135,-0.8129,-0.029
4.4375,15.7813,0.6995,0,0.0262,0.0144,0.6041,0.0353,0.2352,0.1805,0.022,0.757,0.6192,-0.0135,0.027,-0.0135,-0.811,-0.0287
4.5,15.7902,0.6998,0,0.0262,0.0144,0.6068,0.0353,0.2359,0.1811,0.0219,0.7567,0.6197,-0.0135,0.027,-0.0135,-0.8092,-0.0284
4.5625,15.798,0.7001,0,0.0263,0.0144,0.6091,0.0353,0.2364,0.1817,0.0219,0.7564,0.6201,-0.0135,0.027,-0.0135,-0.8077,-0.0282
4.625,15.8047,0.7004,0,0.0264,0.0143,0.6111,0.0354,0.2369,0.1822,0.0219,0.7562,0.6205,-0.0135,0.027,-0.0135,-0.8063,-0.0279
4.6875,15.8103,0.7006,0,0.0264,0.0143,0.6128,0.0354,0.2374,0.1826,0.0219,0.7559,0.6208,-0.0135,0.027,-0.0135,-0.8051,-0.0276
4.75,15.8147,0.7009,0,0.0265,0.0143,0.6142,0.0354,0.2377,0.1829,0.0219,0.7557,0.6211,-0.0135,0.027,-0.0135,-0.8042,-0.0274
4.8125,15.8181,0.7011,0,0.0265,0.0143,0.6152,0.0354,0.238,0.1831,0.0219,0.7555,0.6213,-0.0135,0.027,-0.0135,-0.8035,-0.0272
4.875,15.8203,0.7013,0,0.0265,0.0143,0.6158,0.0354,0.2381,0.1833,0.0219,0.7552,0.6214,-0.0135,0.027,-0.0135,-0.803,-0.027
4.9375,15.8214,0.7015,0,0.0265,0.0143,0.6162,0.0354,0.2382,0.1834,0.0219,0.755,0.6215,-0.0135,0.027,-0.0135,-0.8028,-0.0268
5,15.8214,0.7017,0,0.0265,0.0143,0.6162,0.0354,0.2382,0.1834,0.0219,0.7548,0.6215,-0.0135,0.027,-0.0135,-0.8028,-0.0266
5.0625,15.8203,0.7019,0,0.0265,0.0143,0.6158,0.0354,0.2381,0.1833,0.0219,0.7547,0.6214,-0.0135,0.027,-0.0135,-0.803,-0.0264
5.125,15.8181,0.7021,0,0.0265,0.0143,0.6152,0.0354,0.238,0.1831,0.0219,0.7545,0.6213,-0.0135,0.027,-0.0135,-0.8035,-0.0262
5.1875,15.8147,0.7022,0,0.0265,0.0143,0.6142,0.0354,0.2377,0.1829,0.0219,0.7543,0.6211,-0.0135,0.027,-0.0135,-0.8042,-0.0261
5.25,15.8103,0.7024,0,0.0264,0.0143,0.6128,0.0354,0.2374,0.1826,0.0219,0.7542,0.6208,-0.0135,0.027,-0.0135,-0.8051,-0.0259
5.3125,15.8047,0.7025,0,0.0264,0.0143,0.6111,0.0354,0.2369,0.1822,0.0219,0.7541,0.6205,-0.0135,0.027,-0.0135,-0.8063,-0.0258
5.375,15.798,0.7026,0,0.0263,0.0144,0.6091,0.0353,0.2364,0.1817,0.0219,0.7539,0.6201,-0.0135,0.027,-0.0135,-0.8077,-0.0257
5.4375,15.7902,0.7027,0,0.0262,0.0144,0.6068,0.0353,0.2359,0.1811,0.0219,0.7538,0.6197,-0.0135,0.027,-0.0135,-0.8092,-0.0256
5.5,15.7813,0.7028,0,0.0262,0.0144,0.6041,0.0353,0.2352,0.1805,0.022,0.7537,0.6192,-0.0135,0.027,-0.0135,-0.811,-0.0255
5.5625,15.7723,0.703,0,0.0261,0.0144,0.6015,0.0353,0.2345,0.1798,0.022,0.7536,0.6187,-0.0135,0.027,-0.0135,-0.8128,-0.0253
5.625,15.7634,0.7032,0,0.026,0.0145,0.5988,0.0352,0.2338,0.1792,0.022,0.7534,0.6182,-0.0135,0.027,-0.0135,-0.8146,-0.0251
5.6875,15.7545,0.7034,0,0.0259,0.0145,0.5962,0.0352,0.2332,0.1785,0.022,0.7531,0.6177,-0.0135,0.027,-0.0135,-0.8163,-0.0248
5.75,15.7455,0.7037,0,0.0258,0.0146,0.5935,0.0352,0.2325,0.1778,0.0221,0.7528,0.6172,-0.0135,0.027,-0.0135,-0.818,-0.0245
5.8125,15.7366,0.7041,0,0.0257,0.0146,0.5909,0.0351,0.2318,0.1772,0.0221,0.7524,0.6167,-0.0135,0.027,-0.0135,-0.8197,-0.0242
5.875,15.7277,0.7045,0,0.0256,0.0146,0.5883,0.0351,0.2312,0.1765,0.0221,0.752,0.6162,-0.0135,0.027,-0.0135,-0.8214,-0.0237
5.9375,15.7188,0.705,0,0.0256,0.0147,0.5857,0.0351,0.2305,0.1759,0.0221,0.7516,0.6157,-0.0135,0.027,-0.0135,-0.823,-0.0233
6,15.7098,0.7055,0,0.0255,0.0147,0.5831,0.0351,0.2298,0.1752,0.0221,0.751,0.6152,-0.0135,0.027,-0.0135,-0.8246,-0.0227
6.0625,15.7009,0.7061,0,0.0254,0.0147,0.5805,0.035,0.2292,0.1746,0.0222,0.7504,0.6146,-0.0135,0.027,-0.0135,-0.8263,-0.0222
6.125,15.692,0.7067,0,0.0253,0.0148,0.5779,0.035,0.2285,0.1739,0.0222,0.7498,0.6141,-0.0135,0.027,-0.0135,-0.8278,-0.0215
6.1875,15.683,0.7074,0,0.0252,0.0148,0.5753,0.035,0.2278,0.1733,0.0222,0.7491,0.6136,-0.0135,0.027,-0.0135,-0.8294,-0.0208
6.25,15.6741,0.7082,0,0.0251,0.0149,0.5727,0.0349,0.2272,0.1726,0.0222,0.7484,0.6131,-0.0135,0.027,-0.0135,-0.831,-0.0201
6.3125,15.6652,0.709,0,0.0251,0.0149,0.5701,0.0349,0.2265,0.172,0.0223,0.7476,0.6126,-0.0135,0.027,-0.0135,-0.8325,-0.0193
6.375,15.6562,0.7098,0,0.025,0.0149,0.5675,0.0349,0.2258,0.1713,0.0223,0.7467,0.6121,-0.0135,0.027,-0.0135,-0.834,-0.0184
6.4375,15.6473,0.7107,0,0.0249,0.015,0.565,0.0349,0.2252,0.1707,0.0223,0.7458,0.6116,-0.0135,0.027,-0.0135,-0.8355,-0.0175
6.5,15.6384,0.7117,0,0.0248,0.015,0.5624,0.0348,0.2245,0.17,0.0223,0.7449,0.6111,-0.0135,0.027,-0.0135,-0.837,-0.0166
6.5625,15.6289,0.7127,0,0.0247,0.0151,0.5597,0.0348,0.2238,0.1693,0.0223,0.7439,0.6105,-0.0135,0.027,-0.0135,-0.8385,-0.0156
6.625,15.6189,0.7137,0,0.0246,0.0151,0.5569,0.0348,0.223,0.1686,0.0224,0.7428,0.6099,-0.0135,0.027,-0.0135,-0.8401,-0.0145
6.6875,15.6083,0.7148,0,0.0245,0.0152,0.5538,0.0347,0.2222,0.1678,0.0224,0.7417,0.6093,-0.0135,0.027,-0.0135,-0.8418,-0.0135
6.75,15.5971,0.716,0,0.0244,0.0152,0.5507,0.0347,0.2214,0.167,0.0224,0.7406,0.6087,-0.0135,0.027,-0.0135,-0.8435,-0.0123
6.8125,15.5854,0.7171,0,0.0243,0.0153,0.5474,0.0346,0.2205,0.1662,0.0225,0.7394,0.608,-0.0135,0.027,-0.0135,-0.8453,-0.0112
6.875,15.5731,0.7183,0,0.0242,0.0153,0.5439,0.0346,0.2196,0.1653,0.0225,0.7382,0.6073,-0.0135,0.027,-0.0135,-0.8472,-0.0099
6.9375,15.5603,0.7196,0,0.0241,0.0154,0.5403,0.0346,0.2187,0.1643,0.0225,0.737,0.6065,-0.0135,0.027,-0.0135,-0.8491,-0.0087
7,15.5469,0.7209,0,0.024,0.0155,0.5366,0.0345,0.2177,0.1634,0.0226,0.7357,0.6057,-0.0135,0.027,-0.0135,-0.8511,-0.0074
7.0625,15.5329,0.7222,0,0.0238,0.0155,0.5327,0.0345,0.2166,0.1624,0.0226,0.7343,0.6049,-0.0135,0.027,-0.0135,-0.8531,-0.0061
7.125,15.5184,0.7236,0,0.0237,0.0156,0.5287,0.0344,0.2156,0.1613,0.0226,0.733,0.6041,-0.0135,0.027,-0.0135,-0.8551,-0.0047
7.1875,15.5033,0.725,0,0.0236,0.0157,0.5246,0.0344,0.2144,0.1602,0.0227,0.7315,0.6032,-0.0135,0.027,-0.0135,-0.8572,-0.0033
7.25,15.4877,0.7265,0,0.0234,0.0158,0.5203,0.0343,0.2133,0.1591,0.0227,0.7301,0.6023,-0.0135,0.027,-0.0135,-0.8593,-0.0018
7.3125,15.4715,0.728,0,0.0233,0.0159,0.5159,0.0343,0.2121,0.1579,0.0228,0.7286,0.6013,-0.0135,0.027,-0.0135,-0.8614,-3e-04
7.375,15.4548,0.7295,0,0.0231,0.0159,0.5113,0.0342,0.2108,0.1567,0.0228,0.727,0.6003,-0.0135,0.027,-0.0135,-0.8636,0.0013
7.4375,15.4375,0.7311,0,0.023,0.016,0.5066,0.0342,0.2096,0.1554,0.0229,0.7254,0.5993,-0.0135,0.027,-0.0135,-0.8658,0.0029
7.5,15.4196,0.7328,0,0.0228,0.0161,0.5018,0.0341,0.2082,0.1541,0.0229,0.7238,0.5982,-0.0135,0.027,-0.0135,-0.868,0.0045
7.5625,15.4029,0.7344,0,0.0226,0.0162,0.4974,0.0341,0.207,0.1529,0.023,0.7222,0.5972,-0.0135,0.027,-0.0135,-0.87,0.0061
7.625,15.3873,0.7359,0,0.0225,0.0163,0.4932,0.034,0.2059,0.1517,0.023,0.7207,0.5963,-0.0135,0.027,-0.0135,-0.8719,0.0076
7.6875,15.3728,0.7374,0,0.0224,0.0164,0.4894,0.034,0.2048,0.1507,0.0231,0.7191,0.5954,-0.0135,0.027,-0.0135,-0.8736,0.0091
7.75,15.3594,0.7389,0,0.0223,0.0165,0.4858,0.0339,0.2038,0.1497,0.0231,0.7177,0.5946,-0.0135,0.027,-0.0135,-0.8751,0.0106
7.8125,15.3471,0.7403,0,0.0222,0.0166,0.4826,0.0339,0.2029,0.1488,0.0232,0.7163,0.5939,-0.0135,0.027,-0.0135,-0.8765,0.012
7.875,15.3359,0.7417,0,0.0221,0.0167,0.4797,0.0338,0.2021,0.148,0.0232,0.7149,0.5932,-0.0135,0.027,-0.0135,-0.8777,0.0134
7.9375,15.3259,0.743,0,0.022,0.0167,0.4771,0.0338,0.2013,0.1473,0.0232,0.7135,0.5926,-0.0135,0.027,-0.0135,-0.8788,0.0147
8,15.317,0.7443,0,0.0219,0.0168,0.4748,0.0338,0.2007,0.1466,0.0232,0.7122,0.592,-0.0135,0.027,-0.0135,-0.8798,0.016
8.0625,15.3092,0.7456,0,0.0218,0.0168,0.4727,0.0338,0.2001,0.146,0.0233,0.711,0.5915,-0.0135,0.027,-0.0135,-0.8806,0.0173
8.125,15.3025,0.7468,0,0.0218,0.0169,0.471,0.0337,0.1996,0.1455,0.0233,0.7098,0.5911,-0.0135,0.027,-0.0135,-0.8813,0.0185
8.1875,15.2969,0.7479,0,0.0217,0.0169,0.4696,0.0337,0.1992,0.1451,0.0233,0.7086,0.5908,-0.0135,0.027,-0.0135,-0.8819,0.0197
8.25,15.2924,0.7491,0,0.0217,0.0169,0.4684,0.0337,0.1989,0.1448,0.0233,0.7075,0.5905,-0.0135,0.027,-0.0135,-0.8824,0.0208
8.3125,15.2891,0.7502,0,0.0216,0.017,0.4676,0.0337,0.1986,0.1446,0.0233,0.7064,0.5903,-0.0135,0.027,-0.0135,-0.8827,0.0219
8.375,15.2868,0.7512,0,0.0216,0.017,0.467,0.0337,0.1985,0.1444,0.0233,0.7054,0.5902,-0.0135,0.027,-0.0135,-0.883,0.0229
8.4375,15.2857,0.7522,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.7044,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0239
8.5,15.2857,0.7532,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.7034,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0249
8.5625,15.2857,0.7541,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.7024,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0258
8.625,15.2857,0.7551,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.7015,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0268
8.6875,15.2857,0.756,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.7006,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0277
8.75,15.2857,0.7569,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6996,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0287
8.8125,15.2857,0.7579,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6987,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0296
8.875,15.2857,0.7588,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6978,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0305
8.9375,15.2857,0.7597,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6969,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0314
9,15.2857,0.7606,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6959,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0323
9.0625,15.2857,0.7615,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.695,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0332
9.125,15.2857,0.7624,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6941,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0341
9.1875,15.2857,0.7633,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6932,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.035
9.25,15.2857,0.7642,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6924,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0359
9.3125,15.2857,0.7651,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6915,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0368
9.375,15.2857,0.766,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6906,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0377
9.4375,15.2857,0.7668,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6897,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0385
9.5,15.2857,0.7677,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6889,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0394
9.5625,15.2857,0.7686,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.688,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0403
9.625,15.2857,0.7694,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6872,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0411
9.6875,15.2857,0.7702,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6864,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0419
9.75,15.2857,0.771,0,0.0216,0.017,0.4667,0.0337,0.1984,0.1443,0.0233,0.6855,0.5901,-0.0135,0.027,-0.0135,-0.8831,0.0427
